experiment_id,model_name,input_representation,width,num_blocks,parameters,MACs,loss_configuration,augmentation,patch_size,batch_size,learning_rate,epochs_or_steps,validation_PSNR,validation_SSIM,validation_LPIPS,OOD_PSNR,OOD_SSIM,latency_ms_128,latency_ms_256,throughput,peak_VRAM_MB,checkpoint_size_MB,pareto_optimal,notes
00_bicubic,Clipped bicubic,clipped,,,0,0,none,none,,,,fixed,23.173148688792516,0.5395103217384112,,24.173596655257043,0.5993646626430604,0.067733,0.163152,14763.858698,1.25,0,yes,"fixed non-learned baseline; pure CUDA interpolation timing, batch 1, synchronized steady-state; quality measured on all 480 validation images"
01_current_full,RangeAwareLiteNAFSR,raw_clipped_oor,64,24,956609,14888833024,composite,joint H/V flip and rotations k*90 degrees,64,8,0.0002,20e/6800s,27.869329127248292,0.7489683585877321,0.3007189181749709,28.54033541030635,0.7950553666364589,30.16327800010913,103.96980000001349,33.15289538479147,80.24267578125,3.993611,yes,"selected unchanged fully trained 20-epoch model; fresh full validation and synchronized latency"
02_rep_raw,RangeAwareLiteNAFSR,raw,32,6,104417,1879579648,composite,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,25.934817347094853,0.6412395288636984,,26.44831261925824,0.6796043459052695,20.82059000058507,30.44151999947644,48.0293786089587,135.24267578125,1.436577,no,controlled deterministic 150-step representation screen; no EMA; bounded cuDNN plan cache
03_rep_raw_clipped,RangeAwareLiteNAFSR,raw_clipped,32,6,104705,1884298240,composite,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.03641112152537,0.6482992100053235,,26.549954130143078,0.6895259883254803,10.11602500002482,27.966650000598747,98.85305740125656,135.24365234375,1.440033,yes,controlled deterministic 150-step representation screen; no EMA; bounded cuDNN plan cache
04_rep_raw_clipped_oor,RangeAwareLiteNAFSR,raw_clipped_oor,32,6,104993,1889016832,composite,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.043445697097873,0.6475640096406227,,26.55049251382672,0.6877076637539472,18.95375999956741,31.45435499973246,52.759980079035685,135.24462890625,1.443489,yes,controlled deterministic 150-step representation screen; no EMA; bounded cuDNN plan cache
05_loss_A_charbonnier,RangeAwareLiteNAFSR,raw_clipped,32,6,104705,1884298240,charbonnier,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,25.965964700710057,0.6437398504115497,,26.53798302145413,0.686647407519212,11.87444500028505,28.37967999985267,84.21446223179228,135.24365234375,1.440033,no,controlled deterministic loss A; 150 steps; raw+clipped; no EMA
06_loss_B_charbonnier_ssim,RangeAwareLiteNAFSR,raw_clipped,32,6,104705,1884298240,charbonnier_ssim,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.03205619475226,0.6480368274789917,,26.55005766057663,0.689363909333766,10.419585000272491,27.765150000232097,95.97311217038377,135.24365234375,1.440033,yes,controlled deterministic loss B; 150 steps; raw+clipped; no EMA
07_loss_C_charbonnier_ssim_edge,RangeAwareLiteNAFSR,raw_clipped,32,6,104705,1884298240,charbonnier_ssim_edge,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.03686027040747,0.6482800657039309,,26.549522986921463,0.6894751128585904,10.349659999519645,27.669075000630983,96.62153153305641,135.24365234375,1.440033,yes,controlled deterministic loss C; 150 steps; raw+clipped; no EMA
08_capacity_small,RangeAwareLiteNAFSR,raw_clipped,24,4,50833,955517760,charbonnier_ssim_edge,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.004287341367977,0.6462981157752546,,26.54792965929977,0.6878031383924553,8.117405000666622,17.90865999973903,123.1920792319562,102.0361328125,0.749969,yes,controlled deterministic small capacity; 150 steps; raw+clipped; loss C; no EMA
09_capacity_large,RangeAwareLiteNAFSR,raw_clipped,48,12,335521,5591561472,charbonnier_ssim_edge,joint H/V flip and rotations k*90 degrees,64,4,0.0002,3e/150s,26.07762642834482,0.6502227071545693,,26.578438611238596,0.6912881056986205,17.702154999642516,59.40066499970271,56.490297368890644,202.13623046875,4.354577,no,controlled deterministic large capacity; 150 steps; raw+clipped; loss C; no EMA; base is 07_loss_C
